time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-23 00:00:00+00:00,0,0,0,0
2026-03-24 00:00:00+00:00,0,0,0,0
2026-03-25 00:00:00+00:00,0,0,0,0
2026-03-26 00:00:00+00:00,0,0,0,0
2026-03-27 00:00:00+00:00,0,0,0,0
2026-03-28 00:00:00+00:00,0,0,0,0
2026-03-29 00:00:00+00:00,0,0,0,0
2026-03-30 00:00:00+00:00,0,0,0,0
2026-03-31 00:00:00+00:00,0,0,0,0
2026-04-01 00:00:00+00:00,0,0,0,0
2026-04-02 00:00:00+00:00,0,0,0,0
2026-04-03 00:00:00+00:00,0,0,0,0
2026-04-04 00:00:00+00:00,0,0,0,0
2026-04-05 00:00:00+00:00,38,29,37,1
2026-04-06 00:00:00+00:00,243,159,11,8
2026-04-07 00:00:00+00:00,92,77,13,4
2026-04-08 00:00:00+00:00,60,42,21,9
2026-04-09 00:00:00+00:00,116,94,14,8
2026-04-10 00:00:00+00:00,139,127,25,16
2026-04-11 00:00:00+00:00,74,54,4,4
2026-04-12 00:00:00+00:00,43,30,1,1
2026-04-13 00:00:00+00:00,43,36,4,4
2026-04-14 00:00:00+00:00,70,54,10,9
2026-04-15 00:00:00+00:00,75,46,8,7
2026-04-16 00:00:00+00:00,52,28,11,5
2026-04-17 00:00:00+00:00,33,17,12,3
2026-04-18 00:00:00+00:00,22,15,6,3
2026-04-19 00:00:00+00:00,27,13,1,1
2026-04-20 00:00:00+00:00,33,21,2,2
2026-04-21 00:00:00+00:00,52,24,1,1
2026-04-22 00:00:00+00:00,29,16,3,3
2026-04-23 00:00:00+00:00,115,31,5,5
2026-04-24 00:00:00+00:00,44,17,4,4
2026-04-25 00:00:00+00:00,53,31,1,1
2026-04-26 00:00:00+00:00,30,15,4,1
2026-04-27 00:00:00+00:00,4,4,0,0
2026-04-28 00:00:00+00:00,36,13,1,1
2026-04-29 00:00:00+00:00,48,15,1,1
2026-04-30 00:00:00+00:00,34,11,0,0
